"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"SO2","County","CA","San Joaquin County","emissions (pounds)","-1.2403340623707209","-2.211086750631466","-1.38766869415781","-0.7637876195831268","-0.8263650252195021","-0.9975528602473105","-1.7618659530903642","-1.5209174737701687","-1.4698833018202322","-2.063908987445302","-1.9326032862113607","-1.7251939750963174"
"NOX","County","CA","San Joaquin County","emissions (pounds)","-16.89013400630938","-26.76744662933561","-23.811828156740376","-30.111274942333694","-50.839694115522434","-24.68751250866626","-18.221308430071076","-10.06816516149047","-18.446514675400977","-20.619276908979373","-15.569900278904242","-10.237839370667643"
"CO2","County","CA","San Joaquin County","emissions (tons)","-131.5672378524032","-224.21287089586258","-148.8720937701146","-93.35992065112805","-118.49040556052205","-107.30331912891415","-167.04265281528933","-144.16055727103958","-144.59494413994253","-212.4958498989581","-190.51946522833896","-153.60646327925497"
"PM25","County","CA","San Joaquin County","emissions (pounds)","-5.102954749692799","-8.34608572088382","-5.569735276501888","-3.0533320071383514","-3.712811857605857","-3.856482149440126","-6.18955279092097","-5.44154622242786","-5.38997491597911","-8.215507921820972","-7.184700089678699","-5.735136942022109"
"VOCS","County","CA","San Joaquin County","emissions (pounds)","-0.7753091557829066","-1.1468239967865657","-0.8301810399311762","-0.3611038738792445","-0.4830995132780913","-0.5103139953037044","-0.9256784837971281","-0.8522255693098941","-0.8264183625871055","-1.2201576078656444","-1.0340108977052296","-0.7815679930924944"
"NH3","County","CA","San Joaquin County","emissions (pounds)","-5.979715184482302","-8.796947006552728","-6.3439545289274974","-2.7223029760198187","-3.613007518724771","-3.9392791110881262","-7.642176788738652","-7.205987455738068","-6.833556441275505","-9.465544193473761","-8.085317225742074","-6.05675850663647"
"SO2","County","CA","San Joaquin County","percent","-0.11044854571209356","-0.20130655814944656","-0.17367425473983436","-0.20158474841982943","-0.2765112422969679","-0.20647078244694853","-0.18233553351969709","-0.1258870935171477","-0.14391757801772634","-0.16177137647141712","-0.14408822080985284","-0.12588227661131393"
"NOX","County","CA","San Joaquin County","percent","-0.05487669940613137","-0.09365116536713133","-0.08640894833923772","-0.13980928037837947","-0.23211774061696802","-0.1040126181957837","-0.06293121378939358","-0.03236799560045624","-0.063379979562365","-0.06459134718334952","-0.048963183708431446","-0.031199937634833957"
"CO2","County","CA","San Joaquin County","percent","-0.09150642858518902","-0.16283332962272254","-0.13416840824675036","-0.1410930733988766","-0.19021422380651162","-0.1342829883032014","-0.13050836393984686","-0.09518434993853124","-0.10915964372141806","-0.13514137103884988","-0.11704143393626526","-0.09201264784927936"
"PM25","County","CA","San Joaquin County","percent","-0.10520408444422424","-0.17868825739427496","-0.15486224179468297","-0.15926887846485774","-0.21287029731659676","-0.1602271942963628","-0.14865330422307593","-0.10811771154995882","-0.12401594496528774","-0.15381231659185784","-0.12887672853640394","-0.10031550355674446"
"VOCS","County","CA","San Joaquin County","percent","-0.10355156849151134","-0.15940396420036243","-0.14613639217461913","-0.1130301504725881","-0.16445342465133136","-0.13159930883594656","-0.1433006285839965","-0.10956782983323218","-0.1229900526241559","-0.14779099777890334","-0.12100747474370255","-0.08927743397449682"
"NH3","County","CA","San Joaquin County","percent","-0.10583745073624422","-0.16103265640463957","-0.14846791580398203","-0.11521398938319756","-0.16707841583012295","-0.13531477373657702","-0.15279744962351832","-0.11817519912416209","-0.13092898457275373","-0.14958161802685496","-0.12374306321166931","-0.09073779471152991"
"SO2","County","CA","Santa Clara County","emissions (pounds)","-1.4335221630672095","-1.7884532191710605","-1.905495108932314","-1.1503658459218116","-1.3140429951308477","-1.5564643722247524","-1.8437376896984006","-1.6280122904579457","-1.8491250404465518","-2.0785999344300308","-1.4992324649313105","-1.4177803360653343"
"NOX","County","CA","Santa Clara County","emissions (pounds)","-21.434250481306663","-19.20636064050268","-35.22116067139723","-48.78865945157486","-50.44187769822747","-41.95188909269018","-35.95858612174925","-38.68883974197888","-30.076458853720396","-27.177029462574865","-22.827907176077133","-22.619709494680137"
"CO2","County","CA","Santa Clara County","emissions (tons)","-185.8621298938233","-213.58844404263073","-281.17061708187975","-270.81612194274203","-286.05787179509207","-278.19995976971404","-289.07452568016015","-260.9058850641595","-275.4745433801145","-274.1275636346836","-190.34681269119028","-176.5255948129925"
