"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"NH3","State","CT","","percent","-0.08392135174142705","-0.13934433444464056","-0.13432169596459567","-0.12405557892132704","-0.1574147793567808","-0.12801382861243782","-0.1466073507670116","-0.14829331644984708","-0.1286947201124478","-0.10582911384811375","-0.0714459651677376","-0.07107651823325815"
"SO2","State","MA","","emissions (pounds)","-218.51045850817172","-122.26249278335672","-70.48773363966211","-195.17855777865407","-6.178275286464668","-382.86828569815407","-1372.2676102305704","-747.7101567117788","-135.0909467709498","-157.67122365666728","-185.00209559676478","-225.4936042397967"
"NOX","State","MA","","emissions (pounds)","-262.66171355577535","-288.3265322909283","-194.31118889860227","-269.39102399315743","-237.91890297850478","-493.0964434166963","-1766.5902934065089","-1189.5239290895697","-354.32238338235766","-224.8488727809745","-227.68686692623305","-312.1180138992204"
"CO2","State","MA","","emissions (tons)","-1342.4511259242427","-1516.560795705067","-1542.727201407426","-1687.3275115297874","-1479.051357411372","-1546.091442964098","-2548.3300375263207","-2209.7420416985406","-1464.1772524166154","-1477.126882114855","-1094.5410436174134","-1151.33474491362"
"PM25","State","MA","","emissions (pounds)","-71.38494474933032","-76.83307196086753","-59.63935767383373","-85.14680284769929","-44.73615408406113","-106.76495324581265","-265.46821770226234","-169.06380153993814","-71.9219964249387","-69.3902986968169","-62.55677231052687","-74.18715639547008"
"VOCS","State","MA","","emissions (pounds)","-38.72938716119643","-39.78578187457242","-37.95489959389852","-41.04030554551355","-38.62941631718968","-45.765127526043216","-87.55922773442944","-73.2927099711851","-39.66744750654834","-40.63752424196173","-27.529896918291342","-34.463283156974285"
"NH3","State","MA","","emissions (pounds)","-44.624148699504076","-43.49543199533764","-39.87943942952916","-44.06737430895009","-42.2181589716547","-62.964282468870806","-200.12405476562708","-143.85152824875695","-52.37513408352061","-48.23038255209394","-29.678918005793093","-41.465927872035536"
"SO2","State","MA","","percent","-0.7454375945750727","-1.003365640859246","-0.6059818922038477","-1.9489168691884415","-0.08982514033295981","-1.876039480706995","-0.9478502845413418","-1.140130371767925","-0.9620721416700476","-1.087529816917689","-1.3090933970376106","-0.5573313449547406"
"NOX","State","MA","","percent","-0.1848527542965665","-0.2528961335713371","-0.15811030069710247","-0.23207584093103925","-0.2633942792493401","-0.430878962560046","-0.5581828968683625","-0.5836355691575492","-0.34354237593471065","-0.1813972235830488","-0.18301126026706768","-0.1944419097997949"
"CO2","State","MA","","percent","-0.23241760635541978","-0.3360427958675846","-0.3177694072123049","-0.37028774860856223","-0.37814117661879104","-0.32901053974165667","-0.2642118824270213","-0.29656150447471785","-0.3292807472748962","-0.3015346227990102","-0.21842057945806287","-0.1741890660532807"
"PM25","State","MA","","percent","-0.2800598233273036","-0.4062043615851386","-0.29724201617297097","-0.45257064953302245","-0.2752343232315035","-0.5115199201822171","-0.48513634198021305","-0.4611847845651694","-0.3740840225369002","-0.3369230377302049","-0.2979756077187794","-0.24304703341299014"
"VOCS","State","MA","","percent","-0.28199956539814697","-0.3818234279836787","-0.34166875270828856","-0.3939307582440481","-0.43396947123933094","-0.4041943628396073","-0.3272885979886402","-0.3729941066601462","-0.3753901351480296","-0.3585476453435161","-0.2364990460793966","-0.21283150638742154"
"NH3","State","MA","","percent","-0.31181999479756173","-0.41666246972312554","-0.3605758135765037","-0.42467822228115965","-0.4875766031791622","-0.5067507369672473","-0.5261577654753534","-0.5871152783625978","-0.4714898673374418","-0.41667647891827964","-0.2539514010703331","-0.2429838222315817"
"SO2","State","ME","","emissions (pounds)","-0.13909739761493256","9.632163154265072","0.02984577721781534","-10.587582503901103","-17.96820745741752","-17.933904398367304","-138.50841590466007","-162.9105602210184","-61.620645291372966","7.745053007072784","-9.702680472231805","-9.955960742660864"
"NOX","State","ME","","emissions (pounds)","-58.933524203101115","-71.3699917685517","-44.6800640797228","-64.13435594204566","-66.92571841564313","-48.78752441283723","-249.84186085519468","-149.08293635008886","-56.1068224132614","-56.43926898092468","-53.9539647718957","-78.67134910789173"
"CO2","State","ME","","emissions (tons)","-238.9388731737854","-205.75381894506427","-258.6459990516305","-233.443502641574","-205.87855030946957","-263.6292046349481","-564.9445583442866","-410.70663222984876","-187.0707188650631","-252.9993189870147","-153.6016984465241","-209.2171062187117"
"PM25","State","ME","","emissions (pounds)","-10.254107935886168","-8.755031762646013","-11.230439660973843","-9.93629082305506","-8.956467197395568","-11.047562663954068","-23.4833994964265","-17.510448188755618","-8.089062990073671","-11.175284830951568","-6.576079269583261","-8.497334412237251"
