"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"VOCS","State","DE","","percent","-0.06710626612773136","-0.08924306522323733","-0.08725898828837321","-0.10154175384988434","-0.06177778414304028","-0.12393427101417194","-0.08923999985651833","-0.10408633273584489","-0.1163839491793034","-0.0934419439699479","-0.030800136472028585","-0.054184944699950756"
"NH3","State","DE","","percent","-0.0681991351872253","-0.10314663133278969","-0.06734261955326085","-0.024652395434652776","-0.010036102825238603","-0.1173708657628439","-0.07943996898932654","-0.09628618085184906","-0.11904185608901752","-0.05295334812986727","-0.0015979256983251016","-0.0366718947275933"
"SO2","State","IL","","emissions (pounds)","-282.04629803681746","-423.94536360679194","-299.2955661485903","-244.36615021369653","-386.8558516391786","-321.7035014802823","-153.10762467817403","-201.39020369190257","-377.5648511199979","-271.8867671791231","-384.997966058203","-247.61329501087312"
"NOX","State","IL","","emissions (pounds)","-514.1960735775065","-571.7718944438966","-399.64423139044084","-308.326612995239","-469.3926447648555","-627.3247729332652","-1033.412257391028","-866.9915602121036","-718.6188104185276","-328.2724422182655","-441.8091548028169","-302.79503543348983"
"CO2","State","IL","","emissions (tons)","-525.704844281543","-602.2944301248062","-501.863022595644","-456.4324692739174","-647.0605451647425","-676.8954738336615","-892.8230101633817","-811.5284285754897","-737.0174320773222","-488.3171849134378","-524.9021228665952","-362.10989960632287"
"PM25","State","IL","","emissions (pounds)","-43.49381251534214","-46.59877463070734","-43.346714557003","-29.901693358740886","-49.09714977295516","-53.85885785862047","-76.672368817206","-65.87195056353812","-59.497115843551","-38.35022408794612","-37.83640629921865","-26.850197613530327"
"VOCS","State","IL","","emissions (pounds)","-16.59808655555389","-18.895294672314776","-13.175191633410577","-12.74329974214561","-19.92629791159561","-20.90647708690085","-29.88673543513869","-26.666430895056692","-24.526097260073584","-13.867934631787648","-14.761989881946647","-10.868624055889086"
"NH3","State","IL","","emissions (pounds)","-26.324181542149745","-19.775419876968954","-19.487969048284867","-18.78727304214408","-24.08942429754825","-34.989613968245976","-77.50397280143807","-63.7704422193201","-38.627268287607876","-19.239390741124225","-13.594728412317636","-12.042568171396852"
"SO2","State","IL","","percent","-0.02893976229791264","-0.05577092183701911","-0.04379431490631029","-0.07244441462059407","-0.08180349354938475","-0.044767937841723476","-0.012747167788098925","-0.019334550264662218","-0.04439516264282542","-0.061225184383885946","-0.0673399821097261","-0.035418511070995494"
"NOX","State","IL","","percent","-0.03820095381370317","-0.05810990950064934","-0.043564295560034764","-0.06383530686422799","-0.07668133560220411","-0.06218577856025102","-0.04833920079948323","-0.05272030515103683","-0.06248168981282722","-0.05099809884769154","-0.0583108738892303","-0.03317118048399391"
"CO2","State","IL","","percent","-0.028831320302167673","-0.04225757272166116","-0.03691595739468903","-0.057437034044830845","-0.06407617908970117","-0.046629946992518136","-0.03410916472422238","-0.037859973653607285","-0.045259829349331496","-0.0484570135482443","-0.044585098710324414","-0.02648744914297869"
"PM25","State","IL","","percent","-0.03685519187055037","-0.05273072314521906","-0.05303578782485937","-0.07250359200129171","-0.08645431484451929","-0.05845546745433471","-0.04123090988242404","-0.0448713985840655","-0.05655590430552918","-0.06783955625076774","-0.055577224484741616","-0.032808195174653006"
"VOCS","State","IL","","percent","-0.030109887913573392","-0.044249607088927535","-0.03211706389379179","-0.05224118923730929","-0.06520634380166593","-0.047408737338249386","-0.03686890811788826","-0.04055487885645954","-0.04952340711674784","-0.04495201276277871","-0.041485050605241394","-0.026326171915017238"
"NH3","State","IL","","percent","-0.03823108728930911","-0.03880681594519514","-0.03854598447752259","-0.06191975891429365","-0.06356964503413187","-0.05980601841361635","-0.06012097002152952","-0.06635806011462099","-0.06098332569273781","-0.048131072821517996","-0.031153260050250323","-0.024324449670885144"
"SO2","State","IN","","emissions (pounds)","-735.8270818637684","-784.1535618910566","-607.2295105131343","-631.6450142485555","-950.0392881236039","-1394.3961799186654","-1686.8557593375444","-1581.7617987450212","-1180.4418663443066","-769.3944167331792","-593.658230974339","-427.697219863534"
"NOX","State","IN","","emissions (pounds)","-393.5488117192872","-391.643029761035","-369.3971208622679","-487.29722949303687","-461.2372415543068","-487.8976113398094","-541.7857022336684","-528.9897542328108","-431.8041877958458","-530.5814682687633","-373.87931110081263","-300.4181463387795"
"CO2","State","IN","","emissions (tons)","-228.89347680169158","-243.83679662481882","-251.55284304218367","-314.8607629304752","-353.8424168850761","-381.92751594423316","-346.1967349750921","-360.6844801127445","-313.45263465167955","-304.60674462653697","-220.01293409685604","-182.1483642179519"
"PM25","State","IN","","emissions (pounds)","-26.783144190208986","-29.726965789450333","-24.425285062781768","-23.50450692239974","-35.07490527504706","-52.042042851040605","-63.938528393628076","-58.162916686414974","-42.29456448700512","-30.999429757823236","-24.517062877770513","-18.259692621359136"
"VOCS","State","IN","","emissions (pounds)","-5.773292773839785","-6.225362408731598","-5.320582646178082","-5.637101522570447","-8.240251846866158","-10.518729403956968","-10.101319952664198","-10.319763543113368","-8.642325460372376","-7.150969279173296","-5.599885239993455","-4.114229106962739"
"NH3","State","IN","","emissions (pounds)","-0.7498202301412675","-1.1136552785374079","-1.0502513644478313","-2.1771961904523778","-1.0409761990740662","-1.0613651894109353","-0.7881014395607053","-1.3594270283920196","-0.9523147438385422","-1.248638875576944","-0.8395275738484997","-0.9556684350081923"
"SO2","State","IN","","percent","-0.02131158442265388","-0.028224603273743938","-0.0220805553445111","-0.03331034363295234","-0.03599978229904845","-0.040786848314138216","-0.029710634114283496","-0.03331786622433671","-0.03171894264457919","-0.03466623405250694","-0.024174949063334894","-0.01562052992631521"
"NOX","State","IN","","percent","-0.015339210615046667","-0.018140757618354857","-0.01684889143071442","-0.029924664506803592","-0.037174190697040074","-0.03144022678038721","-0.022526021188744843","-0.025508904725652988","-0.025690398948466135","-0.028565045750546005","-0.01861074767700099","-0.013689726134080073"
"CO2","State","IN","","percent","-0.01208909702501833","-0.015085267861485887","-0.01507060290425434","-0.02419289519296674","-0.02413146299868656","-0.022691426344689687","-0.014993520929852398","-0.01733777058793837","-0.017566961577642974","-0.02094093121011616","-0.014227766243100423","-0.010907851147182629"
"PM25","State","IN","","percent","-0.014260356500989432","-0.018963973700575534","-0.015237146064079216","-0.01899220366992952","-0.02508425887079824","-0.031302814691477575","-0.025680989094013864","-0.027045146819201303","-0.023875137753717857","-0.02237191805447348","-0.016665137951104917","-0.011411665145824524"
"VOCS","State","IN","","percent","-0.012890492581747003","-0.01648352353765444","-0.013684347771966516","-0.018581051409289288","-0.024132459609048664","-0.02642532559155398","-0.017841150817697767","-0.020541794301412657","-0.020410279831204952","-0.021171376207038257","-0.015622142774534246","-0.010607914685935294"
"NH3","State","IN","","percent","-0.00888167236004949","-0.015039554934281456","-0.013615162822399324","-0.03534144785950265","-0.015439950632335282","-0.014329937493084552","-0.008419760155834535","-0.015560896312312531","-0.01231205827740766","-0.018117781557246117","-0.011538176203651674","-0.012232734490461104"
"SO2","State","KY","","emissions (pounds)","-257.9033175604418","-332.69535475061275","-346.9081054775743","-338.97084962495137","-265.1680840543704","-310.8599267380778","-217.17814692133106","-279.18063920596614","-297.32301299949177","-248.92534825624898","-225.25085728813428","-234.51635706285015"
"NOX","State","KY","","emissions (pounds)","-259.10464321961626","-315.4481566033792","-304.5458704488119","-258.57932026148774","-269.5418960091192","-321.70618740143254","-308.7058214733843","-325.95672340504825","-308.6244144042721","-278.8494367186213","-191.18870108015835","-187.31074307777453"
"CO2","State","KY","","emissions (tons)","-248.05006407247856","-311.1946276631206","-294.92345723090693","-284.27694552601315","-261.38572900008876","-314.0622839468997","-316.1362411750015","-325.1497066465672","-307.7469429890625","-234.8991658220766","-178.53596335998736","-188.14529128477443"
"PM25","State","KY","","emissions (pounds)","-16.032103143646964","-17.097062943310448","-15.699238025641534","-6.5638841019172105","-12.742219751660741","-19.618138710447965","-31.984007877072145","-24.16065232654364","-19.72321599539282","-13.672738817560457","-7.883402973315242","-7.1919382289925124"
"VOCS","State","KY","","emissions (pounds)","-8.129666318709496","-9.636112817086541","-8.834549851228076","-7.191019867905197","-7.09287887460232","-10.030804565005383","-11.804557743678743","-11.319942425609042","-9.572849557556765","-6.775071817461139","-4.997197033495468","-5.108070879123261"
"NH3","State","KY","","emissions (pounds)","-7.8093389007444785","-6.256140195870103","-5.654585406840852","-2.9746954446009113","-3.8936779500381817","-8.630235642200205","-18.808580303735653","-15.37740515033147","-9.395519343675915","-4.882638605835382","-2.2725584390263975","-3.4804963107762887"
"SO2","State","KY","","percent","-0.022990179622198473","-0.036171947646579404","-0.038847961872614155","-0.056337696034415456","-0.037616404645640325","-0.03473152804728145","-0.015964322628526047","-0.023419814190166095","-0.03010222138050578","-0.035097805610007735","-0.028351662777846218","-0.02586090976425581"
"NOX","State","KY","","percent","-0.024009550213638507","-0.036256069813450496","-0.03568836893256179","-0.04407224667368051","-0.038211180195200846","-0.035772237728444976","-0.0219430907386087","-0.026879486238100277","-0.03126859022796312","-0.0406011004870716","-0.025245406524738192","-0.021788408609930515"
"CO2","State","KY","","percent","-0.02238581354387965","-0.03452969005179864","-0.033146662651876116","-0.045343366522661105","-0.0353179831718038","-0.03391228812240504","-0.022182527036976676","-0.026363704262183173","-0.030484240933939637","-0.032182239898719954","-0.022430141949941664","-0.020929712999035375"
"PM25","State","KY","","percent","-0.04079362724805225","-0.05990507613920777","-0.059584163597400173","-0.04494430587320615","-0.0677101303381273","-0.06515547262314979","-0.050952722546991625","-0.05011707582575139","-0.05786687437437189","-0.07267872045931123","-0.03633639624725371","-0.027353509446920544"
"VOCS","State","KY","","percent","-0.02719472781069266","-0.04070968047324132","-0.0383962168423167","-0.04594111313330123","-0.037959565494823384","-0.04108492685249666","-0.02921172210551313","-0.03338589357489129","-0.035771952793304224","-0.03670905684857635","-0.02468577467667445","-0.022009118584062914"
