"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"VOCS","State","SD","","emissions (pounds)","-0.045404934900536986","-0.054884509203642295","-0.020547812586915182","-0.01541024000078517","-0.01864093870730854","-0.03139885936724829","-0.15354450692913169","-0.1758566619229711","-0.07357179208366915","-0.026343407734843893","-0.014495574057798777","-0.03755709421728515"
"NH3","State","SD","","emissions (pounds)","-1.204183777507808","-1.4555914630044242","-0.5449483108969702","-0.4086948050271175","-0.4943761297759579","-0.8327288028296778","-4.072152174086284","-4.663892590489695","-1.9511966860736436","-0.6986532258675737","-0.38443695964545554","-0.9960512813385947"
"SO2","State","SD","","percent","0","0","0","0","0","0","0","0","0","0","0","0"
"NOX","State","SD","","percent","-0.7794021415934331","-0.931387754886253","-0.7225301427931579","-1.0731953286761806","-1.6065411288053155","-1.3076478663997366","-1.532305115946512","-1.226481222197161","-1.3295595862029534","-1.0239768203989208","-0.4846938197546737","-0.7234023886228291"
"CO2","State","SD","","percent","-0.746809837703873","-0.8952555911936494","-0.7217267923406299","-1.022579764815444","-1.6829549045480463","-1.2803625865552497","-1.5345628276211336","-1.227594922480417","-1.3205203896014068","-0.995042581714666","-0.4522719055644183","-0.7119182230989297"
"PM25","State","SD","","percent","-0.728504590791422","-0.9150187642067619","-0.7064384151474014","-1.1342148179043157","-1.7267945023224647","-1.2717780054134364","-1.528220221687771","-1.226471257890176","-1.3279242249733723","-1.035445407075981","-0.4620609381612374","-0.7122548868600322"
"VOCS","State","SD","","percent","-0.7285045907914072","-0.9150187642067718","-0.7064384151472465","-1.1342148179044054","-1.7267945023225026","-1.2717780054135144","-1.5282202216876408","-1.226471257890109","-1.3279242249735483","-1.03544540707582","-0.4620609381612725","-0.7122548868603328"
"NH3","State","SD","","percent","-0.7285045907915185","-0.915018764206764","-0.7064384151473672","-1.1342148179043654","-1.7267945023226494","-1.2717780054135135","-1.528220221687646","-1.2264712578900903","-1.3279242249735368","-1.0354454070758041","-0.46206093816128907","-0.7122548868602583"
"SO2","State","WY","","emissions (pounds)","-1337.4064782436471","-1749.3836707677692","-1704.9454408884048","-1257.6426596709061","-1546.0650462503545","-1673.1900831365492","-1504.1011340753175","-1471.822917912621","-1758.325775116682","-1918.3059947304428","-1520.9911332561169","-1526.9979825264309"
"NOX","State","WY","","emissions (pounds)","-1610.822993452428","-1989.239788272418","-1714.637570607243","-1336.2795047066174","-1274.7131205864716","-1057.2238393211737","-1160.0964669713285","-1103.485553650884","-1644.0017716083676","-2049.2671213492285","-1813.2351434053853","-1665.4564303960651"
"CO2","State","WY","","emissions (tons)","-1609.9773075394332","-2103.7716360187624","-2146.7375394185074","-1533.1296260179952","-2127.117039147299","-2174.11599321384","-1675.9993348878343","-1597.2356411891524","-1938.5040831018705","-2279.4863374454435","-1629.1624631793238","-1857.0318244621158"
"PM25","State","WY","","emissions (pounds)","-38.25038644774031","-49.91830590241443","-43.12372338616842","-34.38918766164352","-42.13097685896719","-36.19367121427422","-38.86247369724151","-40.259679606577265","-51.6035584965357","-48.49802758280566","-43.88358780716226","-42.77334143476037"
"VOCS","State","WY","","emissions (pounds)","-51.91447174157656","-61.694945515377185","-48.05114662310007","-32.12766867080063","-36.92015489273399","-45.46885527159611","-72.96365807267284","-75.35145818192541","-65.34387632971266","-52.197422007800924","-49.72401447275479","-52.99484020676027"
"NH3","State","WY","","emissions (pounds)","-23.399515538032574","-31.965613306816522","-32.943809472286375","-24.356653361235658","-34.596622658087654","-33.54872859786701","-25.49569517486816","-24.49391280105192","-28.11139504087987","-33.694538188006845","-23.476367394458066","-29.17642995184724"
"SO2","State","WY","","percent","-0.08732606970011424","-0.12440641213971994","-0.12587778305469982","-0.10699462011509121","-0.1312147265542735","-0.1355819107008331","-0.09902981521808657","-0.0932875518524691","-0.12994918823675003","-0.14575765114924177","-0.11424843562421161","-0.10007797070432448"
"NOX","State","WY","","percent","-0.08940104097976863","-0.12027372452524772","-0.10712122871036696","-0.09472901681473281","-0.0908699883001566","-0.07392361017764681","-0.06923970735573172","-0.06404463641971156","-0.10790906504642822","-0.13146038013351707","-0.11559849024084712","-0.092803146000247"
"CO2","State","WY","","percent","-0.09366488282426169","-0.13326990849611428","-0.14186833143408104","-0.11821687067785985","-0.16226759272346844","-0.15708379420379867","-0.09772578362919129","-0.08975747183532756","-0.12702806601044192","-0.15533557656564642","-0.10926327199121152","-0.10847414869123381"
"PM25","State","WY","","percent","-0.1012313550897556","-0.14360707799458325","-0.13113221995958785","-0.12060794585934838","-0.14587599346470548","-0.11938540774263093","-0.10295310181219008","-0.10228494574518732","-0.15459051892528558","-0.1520641952911895","-0.13580192569747712","-0.113727186409028"
"VOCS","State","WY","","percent","-0.1536147635428898","-0.19747678200639518","-0.17187941642389987","-0.13569225780366576","-0.15511001173632546","-0.17762570816585802","-0.21069771235224213","-0.20317774775727152","-0.22332210039117958","-0.1938387928755557","-0.18050781157166734","-0.15909345430954813"
"NH3","State","WY","","percent","-0.1068349291717243","-0.15833592863026924","-0.17515256236684754","-0.15626609606061143","-0.2208480186587747","-0.19794567193955329","-0.11661149033537982","-0.10720202911925876","-0.1470232784384557","-0.18603167336501644","-0.1262537113355868","-0.13384403122392013"
"SO2","County","CO","Adams County","emissions (pounds)","-8.65490957774864","-7.00911776248995","-6.846272233654872","-6.631893425735143","-2.562673236279579","-3.342156104994501","-9.161338456437988","-8.679938375255006","-4.864217027865834","-5.357046068603722","-5.093598853776257","-4.987768344552023"
"NOX","County","CO","Adams County","emissions (pounds)","-411.88495068787597","-357.08449832641054","-239.52304276012","-275.7628274926683","-128.9749417984567","-184.8599426340079","-829.0761969172745","-793.2824760099174","-387.01528388234146","-195.53418254770804","-211.16513161500916","-238.08422907842032"
"CO2","County","CO","Adams County","emissions (tons)","-561.1902566674398","-471.03230407778756","-441.66942391049815","-496.4802200157137","-389.63124386945856","-448.7174389832071","-964.6006483487145","-934.0221888641245","-583.253090430866","-425.02755958915805","-414.4572982871905","-348.87564692570595"
"PM25","County","CO","Adams County","emissions (pounds)","-43.59522833277879","-37.109858685278596","-30.762803139150492","-37.899689234202015","-25.678726162206658","-29.137063608986864","-81.09317418106002","-74.13838131893863","-43.7158755466844","-28.65230805124156","-28.585244365764083","-26.489116881806694"
"VOCS","County","CO","Adams County","emissions (pounds)","-16.479932048234332","-13.754171219292402","-14.450609138642903","-18.527511430286722","-13.522914084540389","-14.733039672967607","-28.811503731518314","-26.605585221801448","-17.148998731185202","-14.018663554148588","-14.331112848595694","-11.054546557195863"
"NH3","County","CO","Adams County","emissions (pounds)","-46.947829904915125","-39.98802767797679","-36.19543999296184","-37.58626637965972","-31.5198229069465","-37.55471738507731","-77.9786994030037","-76.65601638437147","-48.981468547577606","-35.45955224084355","-33.46947728185842","-28.235993964808586"
"SO2","County","CO","Adams County","percent","-0.31191299603268835","-0.2747498830080092","-0.31682602748467104","-0.3867982162051488","-0.14165756057672785","-0.17602855890421382","-0.35505853810231225","-0.3086952673144486","-0.2267889905741225","-0.2595743008134263","-0.23556826333212688","-0.18691481531006568"
"NOX","County","CO","Adams County","percent","-0.35741025156183226","-0.3376943463470749","-0.26262158017358517","-0.3536953715165004","-0.15849035408092121","-0.2129199583520517","-0.6092435614500524","-0.5083447537976545","-0.37438838878916997","-0.21879527342321303","-0.23415398273335133","-0.22093376035041506"
