"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"CO2","County","NC","New Hanover County","percent","-0.04896556944549387","-0.056973702006283114","-0.10598057281595254","-0.19505915805188406","-0.06097787777528407","-0.03700988646218653","-0.029587825929846823","-0.020027061684053847","-0.035748862317047415","-0.07268826146405641","-0.03988268822454763","-0.12434017425163493"
"PM25","County","NC","New Hanover County","percent","-0.05848846924062992","-0.06262004089959429","-0.10860472962579766","-0.19652296084627963","-0.060486431421113755","-0.046065783130490576","-0.03714912578367672","-0.024822793893565304","-0.044419395633488554","-0.08243445712224448","-0.04467423876127914","-0.1235173062432668"
"VOCS","County","NC","New Hanover County","percent","-0.1790300007588466","-0.14492592825464032","-0.142904091518676","-0.2084913351374728","-0.05262808415064064","-0.13929385262636812","-0.10426635710438527","-0.06474803440565473","-0.1319880948370889","-0.21750350940428512","-0.09632200909075152","-0.1032618220249235"
"NH3","County","NC","New Hanover County","percent","-0.05538716619041705","-0.060737210993222934","-0.10780848757713003","-0.19624304674439258","-0.06068679633577338","-0.04351812610818046","-0.03488514462856264","-0.023491821645652288","-0.04178572923077403","-0.07908733169390333","-0.04338191860246487","-0.12400868266109549"
"SO2","County","NC","Person County","emissions (pounds)","-284.87792862278","-210.64594532142655","-221.81092089535377","-236.25018749960873","-491.6191374963382","-569.3800980322412","-663.9362630120013","-643.5812513910932","-540.4027901760128","-329.4324922099331","-314.12320934046875","-257.97395288773987"
"NOX","County","NC","Person County","emissions (pounds)","-344.046968886425","-309.96295296028256","-277.76386747698416","-344.70129325261223","-548.7046581976756","-363.0312152460101","-331.5426935204887","-349.15933223295724","-363.1775925042457","-366.87833949149353","-385.7154986904934","-453.02503754990175"
"CO2","County","NC","Person County","emissions (tons)","-305.40329640961136","-244.40570473136904","-250.98031849267136","-275.702537543395","-546.604939714889","-557.200410391466","-642.4292393173673","-629.5784762350959","-535.870808888576","-363.89363531152776","-330.07919690266135","-283.6473516523256"
"PM25","County","NC","Person County","emissions (pounds)","-19.205556090484606","-15.40320586773214","-16.105672909824534","-17.40327281269947","-36.53070551895689","-36.66629409221969","-42.04804808487097","-42.02778303077139","-33.48350104099882","-22.45206091867385","-21.5649596472158","-18.0364780574846"
"VOCS","County","NC","Person County","emissions (pounds)","-7.125835951987028","-5.723840148907584","-5.865637857390766","-6.460691315863414","-12.806480382177142","-13.00819997884264","-15.029912575710114","-14.697314171347898","-12.523652147852772","-8.516228346218213","-7.724115952544253","-6.636346186106948"
"NH3","County","NC","Person County","emissions (pounds)","-0.000012066687988082983","-0.000009701138140246184","-0.00000982565941965623","-0.00001094381028891563","-0.000020959028206810233","-0.000021447893877226537","-0.000024895645139457953","-0.00002401622591628738","-0.0000213047309987318","-0.000014601908414125977","-0.000012810233155517714","-0.00001118359414327072"
"SO2","County","NC","Person County","percent","-0.21797694097414208","-0.3396485888031941","-0.35067788339262623","-0.6110735932052598","-0.3668823237833807","-0.32475111043895144","-0.20200468424434767","-0.20439412366128146","-0.23720312549973857","-0.39193183723750263","-0.2619295211677495","-0.3016657634276955"
"NOX","County","NC","Person County","percent","-0.1737588077816211","-0.25250338397868377","-0.2179319668780138","-0.3578411844084888","-0.25890677741382984","-0.14501232516483464","-0.0899751744042347","-0.09662885341552811","-0.12273140930453366","-0.2522278891540321","-0.20838443127185385","-0.2937225181503385"
"CO2","County","NC","Person County","percent","-0.20765603842520605","-0.3174125905744619","-0.3209840830309256","-0.5355429878531335","-0.3406603780442377","-0.27330410258795423","-0.178779544763853","-0.18190115028756","-0.2076124355166512","-0.3682125526122724","-0.24273601822450633","-0.27789812046680323"
"PM25","County","NC","Person County","percent","-0.2053472417343412","-0.31731517945185556","-0.3283449835574256","-0.5474988470856513","-0.3582108416447363","-0.2818966047905712","-0.18276806825211722","-0.1898290347522855","-0.20337461949477123","-0.36164519703642134","-0.25049780276784683","-0.27862367891033724"
"VOCS","County","NC","Person County","percent","-0.20725490739619123","-0.31800282645454103","-0.32093695137761535","-0.536677450738171","-0.3414926798423347","-0.27297499065217773","-0.17892835043862715","-0.1816524873291006","-0.20758440010511056","-0.36850273251328913","-0.24294247047737758","-0.27807484645670383"
"NH3","County","NC","Person County","percent","-0.20836682091055914","-0.3183982149353277","-0.3167098615161858","-0.5306578551462586","-0.33175306221674683","-0.2677468108641131","-0.1766659753574286","-0.17684172355725492","-0.21005061964678415","-0.37242156796644454","-0.23857078632351622","-0.2777563926711337"
"SO2","County","NC","Richmond County","emissions (pounds)","-1.5808302568352701","-2.4558569919504407","-4.116812731715072","-4.090653574427051","-2.0473498571736855","-3.2564228049659505","-4.443802984255399","-3.4955234882268087","-3.451032448133901","-2.9286368771413436","-2.8321483607460323","-1.933463240875426"
"NOX","County","NC","Richmond County","emissions (pounds)","-73.76110026391689","-106.09847008992801","-157.67629203671822","-177.52332984873647","-107.76864100851526","-192.3387563235592","-301.0885658240586","-262.99425449300907","-201.3328313329548","-136.7717207790265","-135.8171201809746","-62.97638313166681"
"CO2","County","NC","Richmond County","emissions (tons)","-198.77869102871045","-296.09737143910024","-481.1611794739729","-451.0104422706063","-262.77190565195633","-374.4863493462326","-492.7967285956256","-399.02520601754077","-381.02864163718186","-351.1520048243692","-315.4084210455185","-251.22603256074945"
