"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"NH3","State","FL","","percent","-0.06204647607222198","-0.07085025055599589","-0.0758516745171723","-0.08678389314254101","-0.0864910404358763","-0.08767644427417298","-0.08986405559140473","-0.08754188335326923","-0.08309170417882408","-0.07129878870267915","-0.06449046896100188","-0.05639755796837035"
"SO2","County","FL","Alachua County","emissions (pounds)","-26.082312613900285","-29.607442855471163","-54.2660982091038","-36.94530678066076","-75.46186186448904","-78.02698967332253","-85.45712630508933","-65.49125630204799","-106.02444507344626","-39.843726623948896","-14.587930012916331","-15.429810481975437"
"NOX","County","FL","Alachua County","emissions (pounds)","-61.45412134533399","-76.80801811494166","-120.72709700284759","-109.36867534753401","-159.43462816422107","-173.12779290264007","-183.30067244067322","-161.35285200504586","-183.89349304308416","-110.58322445722297","-56.34412593534216","-55.525646354450146"
"CO2","County","FL","Alachua County","emissions (tons)","-39.14895216669538","-28.28693874628516","-51.09481388962013","-66.92496552047669","-86.69984504437889","-80.95420599394129","-83.20376946014585","-83.92415530871949","-78.6453554945183","-66.5855215145275","-40.49391179799568","-26.02549846249167"
"PM25","County","FL","Alachua County","emissions (pounds)","-4.600245797646494","-5.526263474523148","-7.419576675576536","-6.993117934671318","-11.929290499967465","-13.18419360147891","-14.102251202373736","-12.53887440665494","-13.770791788600036","-7.651288549393939","-3.848365798869054","-3.6803727627666376"
"VOCS","County","FL","Alachua County","emissions (pounds)","-1.2448431744724076","-1.1642653134504144","-1.5896444007958053","-1.8384266918774301","-2.467965107758573","-2.507011195319137","-2.6867089126208157","-2.6174956886552536","-2.5668083313839816","-1.783456617243246","-1.2642056331392268","-0.8064431425868861"
"NH3","County","FL","Alachua County","emissions (pounds)","-1.1549203355405098","-0.7556340144608384","-0.727124566132261","-1.362620322494422","-1.606114681613235","-1.3560217888434636","-1.494961936222353","-1.8812599406510344","-1.2224948797083925","-1.4434644198713613","-1.057962136257629","-0.5570947641037947"
"SO2","County","FL","Alachua County","percent","-0.027699602943686556","-0.034455976378069096","-0.05669650683179031","-0.03764165749591892","-0.03479003230936561","-0.035662375771241574","-0.03799117590464482","-0.02910614485555947","-0.048651746821038774","-0.03584383584323464","-0.015548397483823256","-0.016432371643299033"
"NOX","County","FL","Alachua County","percent","-0.02433129165553046","-0.03330613869056308","-0.04698414075041781","-0.04114813029705924","-0.049538952425904205","-0.052951698787198305","-0.0546314264930632","-0.04828543820868478","-0.05648811953991484","-0.036257540237192326","-0.02228178304843835","-0.022080988340007605"
"CO2","County","FL","Alachua County","percent","-0.02614859148251239","-0.020757722340066995","-0.03368010097213515","-0.042868447269358026","-0.04661985069226761","-0.043025917877356164","-0.04297222713501643","-0.04335075927351737","-0.0418697429051664","-0.037017323588055824","-0.02709370288428591","-0.017486081352766"
"PM25","County","FL","Alachua County","percent","-0.02077866373863867","-0.02740102584422105","-0.03307164422573524","-0.030635517174452634","-0.04377165212901829","-0.047867417383090825","-0.04984846540822425","-0.04451116739114754","-0.05018711651857546","-0.029865792204783914","-0.017506044605916617","-0.0166743723938927"
"VOCS","County","FL","Alachua County","percent","-0.030650072321429977","-0.031387851784711485","-0.03842388089861558","-0.0430941066839217","-0.04809354137055779","-0.048100507983201694","-0.05014917732615722","-0.04896750692974123","-0.049401210227371005","-0.0363700054160289","-0.031057148795774283","-0.019905535235364966"
"NH3","County","FL","Alachua County","percent","-0.05901173386990024","-0.04207584722594387","-0.03625283730241553","-0.06469392025211244","-0.061970935778653966","-0.050827951301885235","-0.054292116814218326","-0.06819715072921675","-0.04579682431241041","-0.056718884410378693","-0.05308312598556117","-0.028553398300731815"
"SO2","County","FL","Brevard County","emissions (pounds)","-1.3520523227816739","-1.5921400385593643","-1.5401523435880335","-1.3644172692411303","-2.173547232684541","-2.6388321863696547","-3.0294284191277256","-2.1044849010477265","-4.556737122230061","-1.4645011704624267","-1.5034346933230154","-1.4270339706481536"
"NOX","County","FL","Brevard County","emissions (pounds)","-8.98096849196736","-19.49846891339257","-20.472250933467876","-29.378145673152176","-73.38357997918501","-105.237859328372","-111.87078455049777","-83.19296897648019","-100.42709037251188","-38.82055184808269","-18.31699407484848","-9.344401503389236"
"CO2","County","FL","Brevard County","emissions (tons)","-134.01682871225057","-146.17610232401057","-153.22966101850034","-135.66788619069848","-195.77540127484826","-233.47055755654583","-246.95548055152176","-193.6739439056837","-239.13988583831815","-124.65376221618499","-125.51765614535543","-151.80659885163186"
"PM25","County","FL","Brevard County","emissions (pounds)","-14.992969436545536","-15.969737266950688","-16.873736912719323","-13.925975709997147","-17.302780482776143","-19.633474771049805","-20.81305910507217","-16.25582371042401","-20.687969350634376","-11.206510613395949","-13.342969996523607","-17.254995758165023"
"VOCS","County","FL","Brevard County","emissions (pounds)","-1.4043803665604173","-2.1396582063703136","-1.7174188533920187","-3.4355665831351416","-9.132997404353773","-12.486816746139993","-13.034566011235256","-10.193982750770829","-11.653572282083132","-5.631839655759904","-2.369822176792468","-1.1749980085772904"
"NH3","County","FL","Brevard County","emissions (pounds)","-3.3249437851909533","-4.412054821761558","-4.589744935146882","-5.853954077355411","-13.865726619746965","-18.802443104306803","-19.699951919765226","-15.213491376252932","-17.985305829286517","-8.374587180025628","-4.154379627462731","-3.892067577821763"
"SO2","County","FL","Brevard County","percent","-0.061501587364125795","-0.07875566115977367","-0.06765227452993675","-0.05593118140067322","-0.06822710229540034","-0.07796114298185626","-0.08765669954646922","-0.06057006335574693","-0.1357320402496407","-0.04863467282879014","-0.06672656516487782","-0.06544147293203673"
"NOX","County","FL","Brevard County","percent","-0.027948694535781197","-0.06527139449253258","-0.06139325854073034","-0.08134544850730106","-0.1547883496800369","-0.1985760031596811","-0.2086478357183696","-0.16023177387266946","-0.19231358911228982","-0.08591378618404508","-0.055104063558358105","-0.029088682348978892"
"CO2","County","FL","Brevard County","percent","-0.07529299947194713","-0.0889559300101304","-0.0826189746955628","-0.0668976677942964","-0.07479778331797468","-0.08445742529252477","-0.08743734531954404","-0.06901027140642657","-0.08711599588810462","-0.04877232104510414","-0.06796830870762807","-0.08597243262286"
"PM25","County","FL","Brevard County","percent","-0.07545203361061835","-0.08712974583856344","-0.08151243580372404","-0.06195006369723961","-0.06075704347120006","-0.06593718217852115","-0.06833245563988133","-0.053525746973886415","-0.06990416867138069","-0.04004486578450711","-0.06498069734162541","-0.08750311407167827"
"VOCS","County","FL","Brevard County","percent","-0.13998178368835873","-0.22295678155808116","-0.15904612110153163","-0.22842554737832307","-0.3049699853938593","-0.33797963838886247","-0.3509785653645765","-0.28900679512131433","-0.32141944619114027","-0.21521906393214754","-0.1952757951170966","-0.12077100563107723"
"NH3","County","FL","Brevard County","percent","-0.07578213119313978","-0.10851983272527367","-0.10008631220326555","-0.11027808178476353","-0.17395454966176319","-0.20859799595916015","-0.21578850043360553","-0.17184580485128817","-0.20236899608452424","-0.11338903295456866","-0.08821380671207713","-0.08966347277497566"
"SO2","County","FL","Broward County","emissions (pounds)","-1.7550660663127928","-1.703410155221718","-2.2039958732457308","-1.9976975298263824","-2.695561875938438","-3.1059897685495343","-3.0013936468767497","-2.342816902451432","-2.7804566347622313","-1.8767920318377946","-1.5868701359199804","-1.61481480815155"
"NOX","County","FL","Broward County","emissions (pounds)","-12.500296272315609","-18.38265916128148","-24.933980832091038","-43.35714117942916","-103.42258225868864","-149.0394544839728","-151.9841283331407","-126.71227161675051","-130.6569709942487","-62.36998449869134","-20.68522957989626","-14.30726959441381"
"CO2","County","FL","Broward County","emissions (tons)","-148.19207974581514","-143.97388310474344","-181.45689105254132","-189.6060930529784","-292.78105239290744","-363.2425277183065","-359.74141226900974","-299.0631631950964","-324.3764249169617","-197.42873053392395","-137.58008593291743","-131.79291625888436"
"PM25","County","FL","Broward County","emissions (pounds)","-16.528272036779526","-15.811695048349065","-19.925981367854547","-18.597774678717542","-23.93226613774459","-27.271683795392164","-26.503925045028154","-21.907450843988045","-24.626459610164602","-17.526263923358783","-14.302282196382293","-14.64047459291396"
"VOCS","County","FL","Broward County","emissions (pounds)","-0.1557957383461428","-0.16524818502293215","-0.19423777831514144","-0.27723730337658026","-0.5261568581194069","-0.6996656225343258","-0.6981222844297577","-0.5707872976182102","-0.6103758236852741","-0.3271340339796325","-0.16822822590387432","-0.154038474013646"
"NH3","County","FL","Broward County","emissions (pounds)","-9.519095712568742","-9.64163468553852","-12.091968347902366","-14.871592074216096","-27.546813449658657","-36.85150484474434","-37.0157044584048","-30.777403807634983","-32.55203549903308","-17.32589730098698","-9.80564908215274","-8.636525528070706"
"SO2","County","FL","Broward County","percent","-0.08726921693565273","-0.09150226364597208","-0.10517645210813943","-0.08582871056513239","-0.09134725455399091","-0.09894416693428246","-0.09355917639735577","-0.07340955408625024","-0.08923729828675146","-0.06233181571918102","-0.07507036408136289","-0.08058109732884931"
"NOX","County","FL","Broward County","percent","-0.04606077283513579","-0.0729041289503813","-0.08866813551104306","-0.1335135897883946","-0.21178620030021375","-0.2628800435112742","-0.2655963286260268","-0.23186475089268882","-0.23458275927632524","-0.13641498914512895","-0.07153979475583383","-0.05369373456893129"
"CO2","County","FL","Broward County","percent","-0.07744762093016051","-0.08147303139993295","-0.09149532462588893","-0.08617271360141927","-0.09941334434220749","-0.11560401231132263","-0.11198189862413441","-0.09427105471678975","-0.10411831416366893","-0.06917022598715956","-0.06861859080165984","-0.06933162238895293"
"PM25","County","FL","Broward County","percent","-0.07772697010234773","-0.08070435291358172","-0.09052736711424848","-0.0769208200791786","-0.07626860269679336","-0.08295078989256761","-0.07863806458857361","-0.06535856490527052","-0.07539213073027755","-0.05694544028799365","-0.06452771016939626","-0.06920441228642066"
"VOCS","County","FL","Broward County","percent","-0.07599327348595739","-0.08675307874971003","-0.09109069258948534","-0.11406495035364006","-0.15089181840971422","-0.1813832001241108","-0.17785979290326606","-0.14915165385020268","-0.1600805994742035","-0.09906781746123446","-0.07717230375576448","-0.0758651734985253"
"NH3","County","FL","Broward County","percent","-0.07719475487871644","-0.08433278591683956","-0.09441861353383166","-0.102781872370985","-0.1351911100852552","-0.1648426118082745","-0.16262427590918513","-0.13841873125564252","-0.1473300512616154","-0.08936919555699123","-0.07515354489913678","-0.07069830558653653"
"SO2","County","FL","Citrus County","emissions (pounds)","-290.7556312553352","-510.866364823014","-656.3101105461246","-730.7108326184098","-627.3820902334992","-545.0151630343171","-559.502215433633","-533.0586468072142","-457.12923328520264","-722.172163600917","-536.3931596035836","-509.26000856625615"
"NOX","County","FL","Citrus County","emissions (pounds)","-247.0647037664894","-204.2704258543672","-277.47970640589483","-283.61089015204925","-233.19985066261142","-217.6777197390329","-225.18321643187664","-231.47282733698376","-175.29780417855363","-228.44167390372604","-200.5729157431051","-175.72695531212958"
"CO2","County","FL","Citrus County","emissions (tons)","-432.00829853955656","-453.7178878278937","-544.1743500751909","-562.2329961245414","-537.8085615637247","-501.57831490878016","-510.8471486484632","-499.84684057254344","-401.5616413530661","-480.18963575037196","-424.93986084044445","-413.7220172851812"
"PM25","County","FL","Citrus County","emissions (pounds)","-51.06495743538835","-66.46908698967309","-84.53621876667603","-92.49954645238176","-92.44712144536607","-85.33200491321622","-87.40290736257157","-82.57001238792145","-68.99533033318585","-85.46380849019624","-68.99108583825","-61.715331859872094"
