"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"NOX","County","GA","Heard County","percent","-0.12196505047832233","-0.1996498937679044","-0.1978660773259765","-0.253500140677579","-0.14531528416995054","-0.12787854309647942","-0.13032858733676123","-0.12875212095848776","-0.12659987571627374","-0.26573936395945946","-0.15498747728539794","-0.15981310934916018"
"CO2","County","GA","Heard County","percent","-0.07934047646648983","-0.12617795920300204","-0.11925290317978693","-0.1395472248874238","-0.08407110834281246","-0.06471300674581465","-0.07101481954640024","-0.07104901087588236","-0.07443653771409153","-0.14072794904927158","-0.0937690642613141","-0.08742356467732518"
"PM25","County","GA","Heard County","percent","-0.06974564514407167","-0.11234290674761119","-0.09777342530757581","-0.11437687747382966","-0.07103662510236254","-0.05870880489045443","-0.05347286014613728","-0.05431549444495608","-0.0556727144435255","-0.11245569845490973","-0.0792723822232629","-0.06976983632104337"
"VOCS","County","GA","Heard County","percent","-0.07437615244470921","-0.1148180559904862","-0.09595567854493312","-0.11571696557819836","-0.08522096789705477","-0.07190674879756873","-0.07409575488411506","-0.07333822109440948","-0.07627801179090322","-0.12529839045056268","-0.08170622136160689","-0.0733934544367309"
"NH3","County","GA","Heard County","percent","-0.05584891112997759","-0.08660683160973291","-0.07391664410219667","-0.0828801289199958","-0.08561745399742725","-0.079768431697503","-0.09765548118601404","-0.08899442664936955","-0.0992954527623094","-0.09440376851431188","-0.06442554907282094","-0.048978150367827565"
"SO2","County","GA","Houston County","emissions (pounds)","-6.924433207555012","-8.771762178999325","-8.24334956976304","-4.02562985576742","-47.11576739503744","-32.79047394058034","-70.23278487144489","-61.55324144568294","-59.047883785213344","-19.161115659909683","8.106410476166388","-2.5993442981698536"
"NOX","County","GA","Houston County","emissions (pounds)","-43.1256214268069","-36.32239639369254","-61.11021174958296","-26.166228653466533","-395.80624706089293","-353.70247308207763","-646.6407414443383","-567.2038200317184","-503.63278240861837","-188.08010545780417","28.15620551821121","-17.215112669478913"
"CO2","County","GA","Houston County","emissions (tons)","-7.570105904156662","-3.8819720915560083","-11.386516399714765","-6.327806727623056","-70.58400018054272","-77.62845262751398","-125.34185767595409","-111.09454671302592","-94.82063094279147","-30.11909058205765","-0.4918302362707436","-5.115683030151786"
"PM25","County","GA","Houston County","emissions (pounds)","-1.5195091433614607","-0.5826480215472145","-2.3634416761030366","-1.3219175711219862","-15.151673701002892","-17.375555649049602","-27.488277898292836","-24.32093700618043","-20.631066285365705","-6.557733750000352","-0.43675488123898276","-1.2054543375473372"
"VOCS","County","GA","Houston County","emissions (pounds)","-0.25674220619757193","-0.12357360419824914","-0.39174771652820795","-0.2154171039174244","-2.452316875391091","-2.7102133369990042","-4.387153464835137","-3.8831686097574902","-3.3236316111879205","-1.045253430991778","-0.028425661225369936","-0.17945686626919866"
