"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"VOCS","County","MN","Blue Earth County","emissions (pounds)","-0.4105531745933604","-0.30042717051435375","-0.20418155320260212","0.12241912709623648","-0.3679905811752633","-0.51262722237243","-0.7404477781476544","-0.5953859729261239","-0.5433076503700249","-0.17485783919983078","-0.1983296032110502","-0.1756143530111558"
"NH3","County","MN","Blue Earth County","emissions (pounds)","-1.0098903992225132","-0.7583403657395138","-0.5461662669549696","0.10474941605639287","-0.8615453975744458","-1.286340223197385","-1.6556520227468354","-1.3352343119531724","-1.325244422823289","-0.4768496729311664","-0.5570930432813839","-0.4936104503731258"
"SO2","County","MN","Blue Earth County","percent","-0.023060751953531338","-0.023256515270245085","-0.019181750520078058","-0.03508709645870542","0.0015002032108064377","-0.021314418750266583","-0.007699428482238436","-0.006953384374526902","-0.02696705442243367","0.00784960614422037","-0.04404254606612007","-0.031390573970822844"
"NOX","County","MN","Blue Earth County","percent","-0.023551573459253475","-0.027542382921166973","-0.018035049963192214","0.0015621359873518132","-0.022615709001694472","-0.03456099490239825","-0.010670321878179711","-0.012851592908070655","-0.03191951122039487","-0.02935678939655474","-0.001571168981693924","-0.011444723013270531"
"CO2","County","MN","Blue Earth County","percent","-0.02487930254408766","-0.024745951990932345","-0.021334429629265836","-0.016019696444159244","-0.025946207452403294","-0.03688114639165368","-0.023364378085768894","-0.021470385297500623","-0.03501168184339474","-0.02167460375539851","-0.02419414662997067","-0.02156372727956984"
"PM25","County","MN","Blue Earth County","percent","-0.03270179189882955","-0.029532962925740567","-0.021327800967551307","0.01280159311637555","-0.04077774914803008","-0.04396472390022893","-0.0391759744675751","-0.03620070510088033","-0.04545606800302976","-0.020475309635210222","-0.021910499280950492","-0.01953832982967963"
"VOCS","County","MN","Blue Earth County","percent","-0.03360840465039795","-0.030196529969302464","-0.021424536905438444","0.016258355599826857","-0.042619151261395115","-0.04477474580332491","-0.04085108145415079","-0.03781396563406967","-0.04666564028174723","-0.020413520434883838","-0.0216714474053446","-0.019322038437006653"
"NH3","County","MN","Blue Earth County","percent","-0.030673165317538876","-0.02805976450374823","-0.021112874538945337","0.005123653011023583","-0.03669389172322801","-0.04213281309103797","-0.03527473554521141","-0.03247493456913436","-0.0427184411785762","-0.02061329087278489","-0.022441995194614327","-0.020019149243590995"
"SO2","County","MN","Dakota County","emissions (pounds)","-4.156506971437921","-1.894741635358514","-0.463499359259572","-1.1778645868413378","-0.392930461871174","-0.9489305081060593","-7.1919130396859146","-4.648237513973527","-1.065073221395096","-0.48018347699394326","-1.4449087833294243","-0.8678037993789758"
"NOX","County","MN","Dakota County","emissions (pounds)","-11.811501962645707","-7.814340480043029","-2.0999120477281394","-10.089953848375444","-3.527694953703758","-17.940494699745614","-36.17119806831761","-28.406971344833437","-15.979959615615371","-4.484275819591858","-5.159454952190572","-2.950826680425962"
"CO2","County","MN","Dakota County","emissions (tons)","-18.070394411610323","-16.12863327688683","-12.776751455305202","-23.163719029231288","-4.643134791665943","-40.274577710268204","-45.6787430364202","-42.531745846004924","-35.36844865199237","-10.848021195190086","-10.43038328991679","-6.957111396986875"
