"Pollutant","Aggregation level","State","County","Unit of measure","January","February","March","April","May","June","July","August","September","October","November","December"
"PM25","County","NY","Kings County","emissions (pounds)","-6.407105858518889","-5.10703170592501","-2.220167854943554","-0.6045617293679584","-0.4889702596957193","-20.028050611440904","-110.08891086588483","-74.11095986755026","-16.514461847924167","-2.245609171508022","-0.44146714044410373","-2.780354288119895"
"VOCS","County","NY","Kings County","emissions (pounds)","-2.15404459934922","-1.7097789749674632","-0.76108042881296","-0.2002966245282778","-0.19205916625531927","-6.60796016500467","-35.436116915384446","-24.02707808998548","-5.48558286451248","-0.7355946059337839","-0.15320406038563306","-0.9385550934130151"
"NH3","County","NY","Kings County","emissions (pounds)","-4.232850319171575","-3.3498611384384276","-1.9301413746902654","-1.5661661930216724","-0.4546805530626443","-8.566744894350904","-28.018219614981717","-22.928350827608483","-7.55524388362619","-1.0869359862999772","-0.7856430787660429","-1.511842641914427"
"SO2","County","NY","Kings County","percent","0.00006249108973579941","0.00864938032191606","-0.002017117162377739","-0.038163731628569134","-0.012850776004981468","0.008531627262864048","-0.024077574211775265","-0.011801902502979739","0.010619405726410907","-0.010671423154836572","0.0014788437855099467","0.017752892447976006"
"NOX","County","NY","Kings County","percent","-0.058733056214019794","-0.05391010272423736","-0.013698519959815062","-0.051144637754593346","-0.02331431776830015","-0.7017682368052834","-0.6116140758956728","-0.8640213661471229","-0.5834708790959265","-0.05307237217115696","0.03524894803597882","-0.013379974127926745"
"CO2","County","NY","Kings County","percent","-0.038720552269765444","-0.036807608559658256","-0.02433511755896419","-0.06704253362425915","-0.02044126830064371","-0.061875485587306815","-0.16952772984943734","-0.15755499450533564","-0.053911188997976915","-0.02229814260520864","-0.021285974028142154","-0.015505436873735958"
"PM25","County","NY","Kings County","percent","-0.5408512692528733","-0.8352857950699286","-0.4916819554977252","-0.2658116630606411","-0.23598105814505652","-1.175664698411378","-0.5739670300153076","-0.8251558380639232","-1.066999885848742","-0.42450974469557406","-0.12557597866752965","-0.5452533939388168"
"VOCS","County","NY","Kings County","percent","-0.5825032994047877","-0.9480319597796303","-0.6153530594855657","-0.4120802022683674","-0.4456956300451456","-1.2147570819861664","-0.5690100679642491","-0.8196164982199565","-1.111025235367885","-0.49640798553406884","-0.16879989715337682","-0.653767511053176"
"NH3","County","NY","Kings County","percent","-0.13451181728561717","-0.13075026969784834","-0.07212929582113974","-0.06592233666455277","-0.019490353721477095","-0.2789482653292599","-0.3100163878016042","-0.3745580652236841","-0.25141994469205164","-0.041167482156191065","-0.03134218768698709","-0.05548531207101761"
"SO2","County","NY","Lewis County","emissions (pounds)","0","0","0","0","0","0","0","0","0","0","0","0"
"NOX","County","NY","Lewis County","emissions (pounds)","0.051632815497608675","0.11693575907408338","-0.056006159876933026","-0.147784361692068","-0.3660322311770514","-0.12899332768484228","-0.4297177429619836","-0.1806288000547056","0.25325224975739147","-0.5676011764281235","0.1348541343975569","0.16356570885674593"
"CO2","County","NY","Lewis County","emissions (tons)","0.18531734895069008","0.34577961628573917","-0.1059297963728838","-0.4100746010065137","-1.560253249992698","-0.47465619941971227","-1.4638031778086997","-0.534966875714872","0.75153347638593","-1.6737158666834588","0.4609853489820068","0.43333875426210966"
"PM25","County","NY","Lewis County","emissions (pounds)","0.017003037612092875","0.03211878480333663","-0.009755075424696447","-0.03749351891360053","-0.1420533345308006","-0.042822223669725545","-0.13340425666043743","-0.04886534269326148","0.0692063827990701","-0.15416403205083862","0.04256128055249819","0.03968840145584629"
"VOCS","County","NY","Lewis County","emissions (pounds)","0.0027761918451723044","0.005244234029361139","-0.0015927719188136846","-0.006121800341174821","-0.02319393263138736","-0.006991851153670625","-0.021781743821376764","-0.007978548832948906","0.011299757134216382","-0.025171321640429678","0.006949245345776789","0.006480172483490532"
"NH3","County","NY","Lewis County","emissions (pounds)","0.01197771515479662","0.02262593686312009","-0.006871920030775858","-0.02641214469693165","-0.10006884749748535","-0.030165927354427247","-0.09397604258541392","-0.03442297600431665","0.048752132352593236","-0.10860017516553189","0.029982107121758084","0.027958320062125175"
"SO2","County","NY","Lewis County","percent","0","0","0","0","0","0","0","0","0","0","0","0"
"NOX","County","NY","Lewis County","percent","0.3463207558391781","0.9156205497491712","-0.3951742611958151","-2.374568221679781","-5.797725383945928","-0.4867858555131335","-0.42019111452459906","-0.24718951200608397","0.9750621373980173","-4.513042926688071","1.1686571252082862","1.0345218762633142"
"CO2","County","NY","Lewis County","percent","0.4258322618637889","0.9181657705763497","-0.25229304218602705","-2.1764823470708112","-6.7540424361475","-0.637812463095573","-0.4897313860791997","-0.26355657835070473","1.0218659908028882","-4.331306765812303","1.3468252096885112","0.9212342028294844"
"PM25","County","NY","Lewis County","percent","0.4275214055357939","0.9327239843191766","-0.25374711816008383","-2.1718955545993532","-6.729086131205052","-0.631196512494939","-0.4891615206493163","-0.2637796130642698","1.0322681993951894","-4.34586014229884","1.358508949570591","0.9205330417157546"
"VOCS","County","NY","Lewis County","percent","0.42752140553591284","0.932723984319201","-0.25374711816007367","-2.1718955545992755","-6.729086131204981","-0.6311965124950083","-0.4891615206492701","-0.2637796130642797","1.0322681993951797","-4.345860142298962","1.358508949570602","0.9205330417159603"
"NH3","County","NY","Lewis County","percent","0.42752140553590084","0.9327239843191513","-0.2537471181601597","-2.1718955545993257","-6.7290861312050225","-0.6311965124951279","-0.48916152064923657","-0.2637796130644075","1.0322681993951925","-4.34586014229883","1.3585089495705107","0.9205330417157974"
"SO2","County","NY","Nassau County","emissions (pounds)","-0.5834460635960568","-0.39000242692418396","-0.5217275788891129","-0.3848869049397763","0","0","0","0","0","-0.5478820147691295","-0.2184605422517052","-0.44521694717695937"
"NOX","County","NY","Nassau County","emissions (pounds)","-269.00095013025566","-309.8650982734398","-444.67947814729996","-322.6733608448121","-364.1856699188793","-520.9431894347654","-574.0347508438863","-516.0992794473423","-312.59422044307576","-412.8993572772888","-180.5023331993434","-241.24773029380594"
"CO2","County","NY","Nassau County","emissions (tons)","-181.14042065141257","-206.41009609299363","-275.5425117362174","-189.60836209155968","-230.64224491592904","-288.91261254413985","-269.4976599349757","-298.835124074365","-254.69626073016843","-220.28909278596984","-112.42990817938698","-150.94810421852162"
